FID,IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,label
NA20126,NA20126,46.88041705165693,-15.52546009224356,-5.268515391082413,-3.924616373764453,10.851886531035147,-3.495075362809618,-5.35433409462559,-5.227212352158833,-0.15094350978404267,-1.6049177421762888,1.5648318966113364,-0.38480338258995134,0.24636779893703517,-3.166656168082324,-6.528087851400977,6.631780380492897,-12.990268495086374,-3.6304940476543917,-6.576072787239833,-2.933483085919852,3.1775153605887945,1.2375953650502225,-4.314634816629466,8.36284687624206,-1.0305402804599564,1.8043576804356773,6.22494930794437,7.195251007785776,1.7361808719373173,-1.852511466675009,-2.385103289276685,-4.813859634424956,15.418765952077894,-4.781701456882496,-3.468468279450858,5.505978358846567,3.969844231739707,-2.5110667316457143,-3.746945719270189,0.37656029367200916,-0.7871336356634329,2.3860646250564757,20.48332529680319,5.234479500841983,-8.994405412247593,15.126479837751825,1.1094955491854264,7.647315793680144,2.4418913838997907,8.34473272083565,AAC
AJ,APG6,-31.064632611546482,-35.25146760243574,-10.039552756589623,-18.090517802499978,-28.39063968840528,1.4474601688059183,-14.743532068482953,-0.26561349004975354,4.330219484045686,5.3946057464654045,2.82369832217896,3.763121039877759,-0.2244501435488377,4.1263381583439465,-3.4632265503721995,-2.2171689778317756,1.4470474816936756,8.330789813709067,1.066289931903074,2.296248369178218,9.553119741568896,0.865470904907392,-1.1052843581270988,-1.678286076036452,-2.3186792977523387,2.4406853224834486,3.7354315391950363,-0.5684120160709425,-0.14663939996598077,-2.151579393456343,2.8288670716724544,-0.44907649819713935,-1.2811958517444053,-3.6240742786524165,0.5568452947479223,-0.0272743220914178,-2.832554037954846,-1.243834640107981,-1.1353042416180676,0.9693835343591829,4.133819045575566,-4.609876530816392,4.875322634511632,-5.833150781293701,-3.2484510763184073,-1.310975398756092,-2.74803241121382,-1.0770453376165312,6.222987874253408,-1.605328580738111,AJ
HG02786,HG02786,-19.56508984124997,8.50154228784737,55.20095833281188,19.272932429938585,0.7216481777680733,2.0284763489170827,-4.089472050165869,-0.04601134486768869,-15.581403980671269,0.1608051180848232,-2.9396161024941194,16.4957212270175,-19.858502319432876,-3.13433097447559,59.88242271584871,-16.229998723003696,7.885172176127582,-25.427418434143615,-0.4662312383163599,-18.77220153156055,-1.1812121244441618,9.34060249510588,-0.8430651991908924,3.93521063313268,11.88352496706587,-4.336388025343789,-0.043739883420133116,9.496318373429917,-7.406781584157551,-7.937609555383011,7.190955756304881,9.072405544103445,2.3682062427083657,5.706750076640696,0.6808782733788719,1.7681948206886942,-4.827190512007434,-10.69295939706783,-2.872136110790718,-2.400588500281925,5.723217838426373,10.11266786002757,4.575024429662514,3.566794058611726,-19.74358186357407,-15.520267685908733,-5.676615760763364,2.32314458192348,2.878857602908204,-1.8645134313666656,SAS
HG03864,HG03864,-20.04109951131558,7.553042299460365,54.54296451752355,18.384796575158806,-1.1559386561987137,-0.7357789088702705,0.7738074614973568,3.149984750827287,0.4666031079217569,1.0289466596599128,-7.718140438499161,0.8779201731496904,0.16832931337560472,-2.643573329624163,-0.13890828478833586,2.3868344480574124,4.389516521265226,0.25711209971733046,-4.3366586563211875,6.861163591873645,6.096075667531055,-2.4889460299125954,-2.419057682798716,-2.8941356247784014,-6.300746836627962,-2.404152443453764,0.7585084662476249,-12.370902454819156,2.568598761182916,-3.0477641977844074,0.9447129724040353,-5.12151065940871,1.646031143626354,6.565259327600764,5.360608233721348,2.734089990549195,3.78213879625666,-2.865250266869343,0.8741436168249652,-4.1341061805381125,4.98421697429389,3.9265931106564715,-0.5723095069379223,3.731373662668417,1.8848091296716045,-2.031559635066236,11.698374859233384,-8.360248970983333,7.763659366377396,2.0715266484951544,SAS
HG03251,HG03251,77.77331542695491,-10.658692149262931,-1.862145903843852,-1.3645929407594328,-2.1713148524317702,5.455843891396845,-2.6110460341495885,40.469809815716324,1.4989202902887877,0.015058954770019766,1.738630322131564,-4.806906511533564,2.7152765012084052,2.455329754993217,1.7425113460876993,5.914621527542192,-12.354163688905626,0.5941549657179205,15.234790574484466,-2.6160650495031006,4.131983913160837,-0.20254323783716247,8.206862764835883,-6.010006987248447,-5.37747684639171,7.444351163836543,-5.692351301427165,4.835718656037183,4.9235063939667,-10.36738767916864,-4.552298874904813,-6.282607502228178,13.037841619116401,8.022653198827802,9.750145740554697,2.530092243651093,8.463455956799947,12.404192826576256,-2.163231047552265,8.257299199053698,-0.6189758099599869,1.1100371750587046,-5.708051283225039,13.110780379578438,2.0904322222610316,-6.529633463771267,-5.873246450965632,-2.6460861035713417,7.443910050399858,-9.14150351718029,AFR
HG02806,HG02806,82.65059077213883,-7.010935715577013,-0.5359868074130686,-2.9293704911351606,1.6796049086573377,4.7909195253520105,-1.091472272239973,46.71639328289535,7.1784273116789326,8.63714786912331,-6.906053130309134,0.08799937379733451,-2.9968964695554354,1.8878134285105876,4.9548220700556795,1.0469199075637572,3.9777982110302736,3.490657960705988,-2.1997440410227087,-9.413416898349851,6.049536092762146,-1.6010235796572831,-9.516437939561554,6.360520319711739,6.36203786510887,2.0546489867414084,-5.152982506090962,4.724143167572629,-13.4537815909061,11.65545442120104,13.81510869272458,-9.043612214707194,0.26954108505939406,-15.919572572573154,-4.098171147159522,10.993356509186363,24.768970658414915,-3.228174335004822,-7.682065991354621,6.641798146968889,-2.9363075353735235,-3.829964905250916,-4.118267838070471,-9.860520119051822,-5.651188565085786,-0.8707069017783644,-10.902214815254867,9.293139530811546,-14.909938596659025,-0.7621528474560331,AFR
HGDP00583,HGDP00583,-27.156210047975005,-33.92505031635344,-1.3484803611623475,-15.564922586687292,-18.723569972841446,-5.2769937769708,40.95169814431442,-0.1698799231517252,15.557044395319785,3.2146797599461743,-24.226047795409738,-6.480536190840594,-9.899650876986962,0.5922781294558268,0.5949733711204334,16.646573842725246,0.8867245545403836,21.40412632177658,57.64099064435301,-1.1280947096066984,-30.991798518533386,-2.251355594092135,-11.787326753003606,-0.7264527746233703,-11.28649402036567,7.274868967784079,2.4724547094948925,-1.6021200406254528,-4.633928616906426,-0.5352645376167097,1.0239404356783823,2.342756381046939,6.328593148846437,9.42505277178259,11.593377996123916,3.039979535659756,2.3890900551452923,-3.3909011307919554,2.4365639460596666,6.875072944384837,-1.8975593747066595,-3.189683192379653,12.532546737114318,2.10397776489237,-8.280550815387887,-4.096356834941957,1.0062570353226397,-8.8501083764798,1.7524573746047534,-1.3110857946020886,MDE
HG04150,HG04150,-18.059477678289117,18.773499797348485,48.32773330566256,16.2756425617009,1.8663784226189233,-1.9597729659397118,-3.517707652569206,0.6990421866712955,1.1938477611788954,-1.1033034092246095,-0.3842246212722302,1.9823174570061144,10.9354991752244,-7.039270754637151,-11.30430816082965,2.7715316975155653,-4.072018031247193,-5.902938016194326,1.1869910588184553,-1.3179761909930772,-15.79240047830673,4.113750060420554,-17.383933681552374,-10.406420456817115,-8.61777689834756,-8.045949173201342,-6.557459824836207,-3.2241183706214724,19.435845448872087,-16.444829200901623,-8.898806685129319,-2.110975684790892,-24.372665500031207,-5.291250792675423,-3.38299620562251,15.941726314498302,-3.619897705128956,36.50997268765605,7.097917364576912,15.096978115831694,7.299388689063567,13.395724716238412,-6.043064988565829,-2.41896612661572,-14.6102518682137,-5.434190318027622,16.770541828214668,-24.023741423955524,-4.806958288579622,12.342261736820344,SAS
HGDP00274,HGDP00274,-27.930635207208525,-10.540177974862505,30.01025312455873,12.469162993977474,3.752515812105515,6.652363017781992,12.833781574707658,-7.6134661541370345,74.22181789095241,-21.624899421211534,69.80932175895664,42.20608144893204,2.94049621892645,-14.465878403085338,7.531088044501195,13.68387788869255,-0.11304106480557116,20.284530097554246,4.006683930707633,-6.519589848802924,-7.45197624279389,3.119718430415567,2.045256587665038,-4.123850057473047,2.203270039801808,6.3139540541574695,-5.256191364817797,5.612355258777748,2.752326822806989,5.5464183627583665,0.5077069347049535,3.689077003641895,3.4048487286015403,-5.313110417338071,-3.2507720150734802,3.977357598018869,-2.175651707477076,-5.641448073848386,-5.82517311666633,2.677981683640118,-4.844613041784049,-2.439018771540585,2.9929412641446906,5.401425263078663,-1.3048093834791077,1.147396527322133,3.120986678240926,-1.6181878424854808,2.130081557325707,-5.864253985045434,CAS
NA10837,NA10837,-34.556609982939065,-37.45377715808716,-9.12497971269335,-12.83542820433244,30.304858112261385,6.605172302834539,-2.0043906955665274,0.8933816205864785,1.4699004867010348,-1.5758466296831022,5.17458453459931,-0.7332080231298694,-8.32485231339862,-3.4060293788609624,4.938623858753142,-5.137842730712579,-21.140493967062994,-16.974705526242534,-8.433583493637336,-5.089841370650186,-3.2681579444583297,5.5824424095881575,2.5854542472362576,-21.88503270740472,-3.3670714038360066,12.255625254663183,5.106161451308177,-27.075503065665824,1.8658553040183468,-3.463137833206007,18.995485867943128,11.546120416622246,-7.119727457894654,-6.259271012690172,14.124858584971514,4.168613518486768,-5.2343358149497465,-20.577053784595673,19.903612336303205,-9.19242921614169,-32.249612221149754,7.698873258800639,-1.6554137373576259,7.92079593249251,33.10882399738334,-3.528021071591581,7.2621954733227,-14.452305998154378,17.266504096119867,22.24650566004622,EUR
